vid_id,target_speaker,chunk_condition,precision,architecture,identity_arcface_mean,landmark_nme_mean,temporal_lpips_mean,fid_score,latency_p95_ms
video_id00328_00092,DonaldTrump,C3,fp32,Deep-Live-Cam,0.7552,,0.0619,115.617,
video_id00328_00092,DonaldTrump,C3,fp32,Wav2Lip,0.0628,,0.041,14.497,
video_id02824_00130,DonaldTrump,C3,fp32,Deep-Live-Cam,0.8404,,0.0805,81.722,
video_id02824_00130,DonaldTrump,C3,fp32,Wav2Lip,,,0.0367,13.055,
video_id00328_00092,DonaldTrump,C3,fp32,Deep-Live-Cam,0.7654,,0.0753,121.424,
video_id00328_00092,DonaldTrump,C3,fp32,MuseTalk,0.066,,0.0761,20.949,
video_id00328_00092,DonaldTrump,C3,fp32,Wav2Lip,0.0644,,0.0476,13.785,
video_id02824_00130,DonaldTrump,C3,fp32,Deep-Live-Cam,0.8511,,0.109,81.231,
video_id02824_00130,DonaldTrump,C3,fp32,Wav2Lip,,,0.0367,13.055,
video_id00328_00092,DonaldTrump,C3,fp32,Deep-Live-Cam,0.7624,,0.0682,112.221,
video_id00328_00092,DonaldTrump,C3,fp32,FaceFusion,0.6254,,0.0669,64.726,
video_id00328_00092,DonaldTrump,C3,fp32,MuseTalk,0.066,,0.0761,20.949,
video_id00328_00092,DonaldTrump,C3,fp32,Wav2Lip,0.0644,,0.0476,13.785,
video_id02824_00130,DonaldTrump,C3,fp32,Deep-Live-Cam,0.8476,,0.09,86.885,
video_id02824_00130,DonaldTrump,C3,fp32,FaceFusion,0.7075,,0.108,84.913,
video_id02824_00130,DonaldTrump,C3,fp32,Wav2Lip,,,0.0367,13.055,
video_id00328_00092,DonaldTrump,C3,fp32,Deep-Live-Cam,0.7624,0.03929,0.0682,112.221,
video_id00328_00092,DonaldTrump,C3,fp32,FaceFusion,0.6254,0.04614,0.0606,64.963,
video_id00328_00092,DonaldTrump,C3,fp32,MuseTalk,0.066,0.01652,0.0761,20.949,
video_id00328_00092,DonaldTrump,C3,fp32,Wav2Lip,0.0644,0.01338,0.0476,13.785,
video_id02824_00130,DonaldTrump,C3,fp32,Deep-Live-Cam,0.8476,0.04487,0.09,86.885,
video_id02824_00130,DonaldTrump,C3,fp32,FaceFusion,0.7086,0.04941,0.1086,84.054,
video_id02824_00130,DonaldTrump,C3,fp32,Wav2Lip,,0.0128,0.0367,13.055,
